"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 12 04:19:46 GMT 2024","Thu Sep 12 04:19:46 GMT 2024","332","","TC13 - Add to cart test","","","","should check that item is added to cart",""
"passed","Thu Sep 12 04:19:46 GMT 2024","Thu Sep 12 04:19:47 GMT 2024","1404","","TC13 - Add to cart test","","","","should check that logged out",""
"passed","Thu Sep 12 04:19:46 GMT 2024","Thu Sep 12 04:19:47 GMT 2024","657","","TC19 - Checkout with empty postal code test","","","","should check that overview page is opened and price is correct",""
"passed","Thu Sep 12 04:19:59 GMT 2024","Thu Sep 12 04:19:59 GMT 2024","668","","TC20 - Checkout with empty last name test","","","","should check that overview page is opened and price is correct",""
"passed","Thu Sep 12 04:19:46 GMT 2024","Thu Sep 12 04:19:46 GMT 2024","506","","TC19 - Checkout with empty postal code test","","","","should check that cart page is displayed and product is same as added",""
"passed","Thu Sep 12 04:19:45 GMT 2024","Thu Sep 12 04:19:46 GMT 2024","679","","TC16 - Continue shopping test","","","","should check that item is added to cart",""
"passed","Thu Sep 12 04:19:49 GMT 2024","Thu Sep 12 04:19:49 GMT 2024","177","","TC15 - Remove from cart on inventory page test","","","","should check that cart is empty",""
"passed","Thu Sep 12 04:19:47 GMT 2024","Thu Sep 12 04:19:48 GMT 2024","1239","","TC11 - Valid checkout test","","","","should check that overview page is opened and price is correct",""
"passed","Thu Sep 12 04:19:47 GMT 2024","Thu Sep 12 04:19:48 GMT 2024","1414","","TC14 - Remove from cart test","","","","should check that logged out",""
"passed","Thu Sep 12 04:19:47 GMT 2024","Thu Sep 12 04:19:48 GMT 2024","1241","","TC17 - Canceling order test","","","","should check that overview page is opened and price is correct",""
"passed","Thu Sep 12 04:19:55 GMT 2024","Thu Sep 12 04:19:56 GMT 2024","1401","","TC2 - Login invalid password test","","","","should check that password is secured",""
"passed","Thu Sep 12 04:19:48 GMT 2024","Thu Sep 12 04:19:49 GMT 2024","1149","","TC14 - Remove from cart test","","","","should check that logged in and products and cart are displayed",""
"passed","Thu Sep 12 04:19:57 GMT 2024","Thu Sep 12 04:19:58 GMT 2024","458","","TC8 - Inventory Sort test ZA","","","","should sort items by name from Z to A",""
"passed","Thu Sep 12 04:19:59 GMT 2024","Thu Sep 12 04:20:04 GMT 2024","4485","","TC5 - About link test","","","","should check that About link opens",""
"passed","Thu Sep 12 04:19:58 GMT 2024","Thu Sep 12 04:19:58 GMT 2024","516","","TC20 - Checkout with empty last name test","","","","should check that cart page is displayed and product is same as added",""
"passed","Thu Sep 12 04:19:59 GMT 2024","Thu Sep 12 04:20:00 GMT 2024","243","","TC9 - Inventory Sort test hilo","","","","should sort items by price from high to low",""
"passed","Thu Sep 12 04:19:48 GMT 2024","Thu Sep 12 04:19:48 GMT 2024","278","","TC17 - Canceling order test","","","","should check that user is redirected to the Inventory page when cancel",""
"passed","Thu Sep 12 04:19:46 GMT 2024","Thu Sep 12 04:19:47 GMT 2024","244","","TC11 - Valid checkout test","","","","should check that checkout form is opened",""
"passed","Thu Sep 12 04:19:49 GMT 2024","Thu Sep 12 04:19:49 GMT 2024","309","","TC13 - Add to cart test","","","","should check that cart is displayed, product is the same as added",""
"passed","Thu Sep 12 04:19:56 GMT 2024","Thu Sep 12 04:19:58 GMT 2024","1697","","TC2 - Login invalid password test","","","","should check that ""X"" icons are displayed",""
"passed","Thu Sep 12 04:19:48 GMT 2024","Thu Sep 12 04:19:49 GMT 2024","429","","TC11 - Valid checkout test","","","","should check that user is redirected to the Checkout Complete page",""
"passed","Thu Sep 12 04:19:46 GMT 2024","Thu Sep 12 04:19:47 GMT 2024","476","","TC17 - Canceling order test","","","","should check that cart page is displayed and product is same as added",""
"passed","Thu Sep 12 04:19:59 GMT 2024","Thu Sep 12 04:20:01 GMT 2024","1220","","TC4 - Logout test","","","","should check that 4 items in sidebar are present",""
"passed","Thu Sep 12 04:19:46 GMT 2024","Thu Sep 12 04:19:47 GMT 2024","467","","TC16 - Continue shopping test","","","","should check that cart page is displayed and product is same as added",""
"passed","Thu Sep 12 04:19:55 GMT 2024","Thu Sep 12 04:19:57 GMT 2024","1468","","TC3 - Login invalid password test","","","","should check that password is secured",""
"passed","Thu Sep 12 04:19:47 GMT 2024","Thu Sep 12 04:19:47 GMT 2024","264","","TC17 - Canceling order test","","","","should check that checkout form is opened",""
"passed","Thu Sep 12 04:19:57 GMT 2024","Thu Sep 12 04:19:59 GMT 2024","2537","","TC4 - Logout test","","","","should check that burger is present",""
"passed","Thu Sep 12 04:19:46 GMT 2024","Thu Sep 12 04:19:47 GMT 2024","692","","TC18 - Checkout with empty first name test","","","","should check that overview page is opened and price is correct",""
"passed","Thu Sep 12 04:19:58 GMT 2024","Thu Sep 12 04:19:59 GMT 2024","306","","TC20 - Checkout with empty last name test","","","","should check that checkout form is opened",""
"passed","Thu Sep 12 04:19:45 GMT 2024","Thu Sep 12 04:19:46 GMT 2024","517","","TC19 - Checkout with empty postal code test","","","","should check that item is added to cart",""
"passed","Thu Sep 12 04:19:46 GMT 2024","Thu Sep 12 04:19:46 GMT 2024","338","","TC18 - Checkout with empty first name test","","","","should check that cart page is displayed and product is same as added",""
"passed","Thu Sep 12 04:19:49 GMT 2024","Thu Sep 12 04:19:49 GMT 2024","185","","TC14 - Remove from cart test","","","","should check that cart is empty",""
"passed","Thu Sep 12 04:19:45 GMT 2024","Thu Sep 12 04:19:46 GMT 2024","347","","TC14 - Remove from cart test","","","","should check that item is added to cart",""
"passed","Thu Sep 12 04:19:46 GMT 2024","Thu Sep 12 04:19:46 GMT 2024","456","","TC11 - Valid checkout test","","","","should check that cart page is displayed and product is same as added",""
"passed","Thu Sep 12 04:19:46 GMT 2024","Thu Sep 12 04:19:48 GMT 2024","1506","","TC15 - Remove from cart on inventory page test","","","","should check that logged out",""
