"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 12 04:19:45 GMT 2024","Thu Sep 12 04:19:46 GMT 2024","682","","TC17 - Canceling order test","","","","should check that item is added to cart",""
"passed","Thu Sep 12 04:20:00 GMT 2024","Thu Sep 12 04:20:00 GMT 2024","158","","TC7 - Inventory Sort test AZ","","","","should sort items by name from A to Z",""
"passed","Thu Sep 12 04:19:45 GMT 2024","Thu Sep 12 04:19:46 GMT 2024","317","","TC15 - Remove from cart on inventory page test","","","","should check that item is added to cart",""
"passed","Thu Sep 12 04:19:46 GMT 2024","Thu Sep 12 04:19:46 GMT 2024","344","","TC19 - Checkout with empty postal code test","","","","should check that checkout form is opened",""
"passed","Thu Sep 12 04:19:46 GMT 2024","Thu Sep 12 04:19:46 GMT 2024","197","","TC13 - Add to cart test","","","","should check that cart is empty",""
"passed","Thu Sep 12 04:19:47 GMT 2024","Thu Sep 12 04:19:49 GMT 2024","1214","","TC13 - Add to cart test","","","","should check that logged in and products and cart are displayed",""
"passed","Thu Sep 12 04:19:46 GMT 2024","Thu Sep 12 04:19:46 GMT 2024","470","","TC14 - Remove from cart test","","","","should delete item from cart",""
"passed","Thu Sep 12 04:20:02 GMT 2024","Thu Sep 12 04:20:03 GMT 2024","1692","","TC6 - Footer link test","","","","should check that Facebook opens in new tab",""
"passed","Thu Sep 12 04:19:45 GMT 2024","Thu Sep 12 04:19:46 GMT 2024","521","","TC11 - Valid checkout test","","","","should check that item is added to cart",""
"passed","Thu Sep 12 04:19:57 GMT 2024","Thu Sep 12 04:19:58 GMT 2024","469","","TC20 - Checkout with empty last name test","","","","should check that item is added to cart",""
"passed","Thu Sep 12 04:19:57 GMT 2024","Thu Sep 12 04:19:59 GMT 2024","2000","","TC3 - Login invalid password test","","","","should check that ""X"" icons are displayed",""
"passed","Thu Sep 12 04:19:45 GMT 2024","Thu Sep 12 04:19:46 GMT 2024","296","","TC18 - Checkout with empty first name test","","","","should check that item is added to cart",""
"passed","Thu Sep 12 04:19:48 GMT 2024","Thu Sep 12 04:19:49 GMT 2024","1287","","TC15 - Remove from cart on inventory page test","","","","should check that logged in and products and cart are displayed",""
"passed","Thu Sep 12 04:19:59 GMT 2024","Thu Sep 12 04:20:02 GMT 2024","2190","","TC6 - Footer link test","","","","should check that Twitter opens in new tab",""
"passed","Thu Sep 12 04:20:01 GMT 2024","Thu Sep 12 04:20:01 GMT 2024","94","","TC4 - Logout test","","","","should check that user is redirected and fields are empty",""
"passed","Thu Sep 12 04:20:03 GMT 2024","Thu Sep 12 04:20:05 GMT 2024","1524","","TC6 - Footer link test","","","","should check that LinkedIn opens in new tab",""
"passed","Thu Sep 12 04:19:46 GMT 2024","Thu Sep 12 04:19:46 GMT 2024","352","","TC18 - Checkout with empty first name test","","","","should check that checkout form is opened",""
"passed","Thu Sep 12 04:19:46 GMT 2024","Thu Sep 12 04:19:46 GMT 2024","590","","TC14 - Remove from cart test","","","","should check that cart bage is empty after deletion from item page",""
"passed","Thu Sep 12 04:19:47 GMT 2024","Thu Sep 12 04:19:47 GMT 2024","327","","TC16 - Continue shopping test","","","","should check that user is redirected to the Inventory page when press continue shopping",""
"passed","Thu Sep 12 04:19:55 GMT 2024","Thu Sep 12 04:19:57 GMT 2024","2367","","Login valid user test","","","","should check that user is logged in",""
"passed","Thu Sep 12 04:19:45 GMT 2024","Thu Sep 12 04:19:46 GMT 2024","626","","TC10 - Inventory Sort test lohi","","","","should sort items by price from low to high",""
"passed","Thu Sep 12 04:19:46 GMT 2024","Thu Sep 12 04:19:46 GMT 2024","345","","TC15 - Remove from cart on inventory page test","","","","should check that cart bage is empty after deletion",""
"passed","Thu Sep 12 04:19:54 GMT 2024","Thu Sep 12 04:19:55 GMT 2024","942","","Login valid user test","","","","should check that password is secured",""
