"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 12 18:02:47 GMT 2024","Thu Sep 12 18:02:49 GMT 2024","1257","","TC3 - Login invalid password test","","","","should check that ""X"" icons are displayed",""
"passed","Thu Sep 12 18:02:37 GMT 2024","Thu Sep 12 18:02:38 GMT 2024","484","","TC17 - Canceling order test","","","","should check that cart page is displayed and product is same as added",""
"passed","Thu Sep 12 18:02:49 GMT 2024","Thu Sep 12 18:02:50 GMT 2024","1241","","TC2 - Login invalid password test","","","","should check that ""X"" icons are displayed",""
"passed","Thu Sep 12 18:02:49 GMT 2024","Thu Sep 12 18:02:51 GMT 2024","2618","","TC4 - Logout test","","","","should check that burger is present",""
"passed","Thu Sep 12 18:02:40 GMT 2024","Thu Sep 12 18:02:40 GMT 2024","254","","TC13 - Add to cart test","","","","should check that item is added to cart",""
"passed","Thu Sep 12 18:02:51 GMT 2024","Thu Sep 12 18:02:52 GMT 2024","208","","TC8 - Inventory Sort test ZA","","","","should sort items by name from Z to A",""
"passed","Thu Sep 12 18:02:40 GMT 2024","Thu Sep 12 18:02:40 GMT 2024","298","","TC18 - Checkout with empty first name test","","","","should check that checkout form is opened",""
"passed","Thu Sep 12 18:02:46 GMT 2024","Thu Sep 12 18:02:47 GMT 2024","1113","","TC3 - Login invalid password test","","","","should check that password is secured",""
"passed","Thu Sep 12 18:02:40 GMT 2024","Thu Sep 12 18:02:40 GMT 2024","353","","TC14 - Remove from cart test","","","","should delete item from cart",""
"passed","Thu Sep 12 18:02:40 GMT 2024","Thu Sep 12 18:02:40 GMT 2024","340","","TC19 - Checkout with empty postal code test","","","","should check that item is added to cart",""
"passed","Thu Sep 12 18:02:45 GMT 2024","Thu Sep 12 18:02:47 GMT 2024","1308","","TC1 - Login valid user test","","","","should check that password is secured",""
"passed","Thu Sep 12 18:02:51 GMT 2024","Thu Sep 12 18:02:52 GMT 2024","186","","TC9 - Inventory Sort test hilo","","","","should sort items by price from high to low",""
"passed","Thu Sep 12 18:02:48 GMT 2024","Thu Sep 12 18:02:48 GMT 2024","628","","TC20 - Checkout with empty last name test","","","","should check that item is added to cart",""
"passed","Thu Sep 12 18:02:38 GMT 2024","Thu Sep 12 18:02:38 GMT 2024","436","","TC17 - Canceling order test","","","","should check that checkout form is opened",""
"passed","Thu Sep 12 18:02:39 GMT 2024","Thu Sep 12 18:02:40 GMT 2024","380","","TC18 - Checkout with empty first name test","","","","should check that item is added to cart",""
"passed","Thu Sep 12 18:02:49 GMT 2024","Thu Sep 12 18:02:49 GMT 2024","378","","TC20 - Checkout with empty last name test","","","","should check that checkout form is opened",""
"passed","Thu Sep 12 18:02:40 GMT 2024","Thu Sep 12 18:02:40 GMT 2024","394","","TC19 - Checkout with empty postal code test","","","","should check that cart page is displayed and product is same as added",""
"passed","Thu Sep 12 18:02:51 GMT 2024","Thu Sep 12 18:02:52 GMT 2024","1211","","TC4 - Logout test","","","","should check that 4 items in sidebar are present",""
"passed","Thu Sep 12 18:02:38 GMT 2024","Thu Sep 12 18:02:40 GMT 2024","1941","","TC11 - Valid checkout test","","","","should check that overview page is opened and price is correct",""
"passed","Thu Sep 12 18:02:50 GMT 2024","Thu Sep 12 18:02:51 GMT 2024","649","","TC7 - Inventory Sort test AZ","","","","should sort items by name from A to Z",""
"passed","Thu Sep 12 18:02:47 GMT 2024","Thu Sep 12 18:02:49 GMT 2024","2164","","TC1 - Login valid user test","","","","should check that user is logged in",""
